Team,Season,Active Payroll,Win Rate,Playoff Wins,Playoff Score
TOR,2013-14,57505384,0.512,,0
TOR,2014-15,62107309,0.415,,0
TOR,2015-16,34981449,0.421,,0
TOR,2016-17,49470777,0.579,2,1
TOR,2017-18,63465874,0.64,3,1
TOR,2018-19,68969768,0.61,3,1
TOR,2019-20,97498515,0.579,2,0
TOR,2020-21,83345663,0.688,3,1
TOR,2021-22,74102760,0.701,3,1
TOR,2022-23,68445682,0.677,5,2
TOR,2023-24,77665700,0.622,3,1
VAN,2012-13,53554537,0.615,0,1
VAN,2013-14,61800000,0.506,,0
VAN,2014-15,63758721,0.616,2,1
VAN,2015-16,59455894,0.457,,0
VAN,2016-17,52304840,0.421,,0
VAN,2017-18,63344583,0.445,,0
VAN,2018-19,59954625,0.494,,0
VAN,2019-20,78428416,0.565,10,2
VAN,2020-21,55662532,0.446,,0
VAN,2021-22,64050750,0.561,,0
VAN,2022-23,50535127,0.506,,0
VAN,2023-24,88313387,0.665,7,2
VGK,2017-18,46231034,0.665,,0
VGK,2018-19,61747543,0.567,,0
VGK,2019-20,88868265,0.606,,0
VGK,2020-21,67201486,0.732,,0
VGK,2021-22,75421875,0.573,,0
VGK,2022-23,75443322,0.677,,0
VGK,2023-24,83173165,0.598,,0
WAS,2012-13,39795125,0.594,,0
WAS,2013-14,59150384,0.549,,0
WAS,2014-15,55035910,0.616,,0
WAS,2015-16,66759649,0.732,,0
WAS,2016-17,73120838,0.72,,0
WAS,2017-18,85001197,0.64,,0
WAS,2018-19,90324521,0.634,,0
WAS,2019-20,89281530,0.652,,0
WAS,2020-21,69272230,0.688,,0
WAS,2021-22,75364250,0.61,,0
WAS,2022-23,65284968,0.488,,0
WAS,2023-24,68770363,0.555,,0
WPG,2012-13,29660372,0.531,,0
WPG,2013-14,57045000,0.512,,0
WPG,2014-15,67779435,0.604,0,1
WPG,2015-16,52071357,0.476,,0
WPG,2016-17,54993125,0.53,,0
WPG,2017-18,68600074,0.695,9,3
WPG,2018-19,74899556,0.604,2,1
WPG,2019-20,73165332,0.563,1,0
WPG,2020-21,69832261,0.563,4,2
WPG,2021-22,79987016,0.543,,0
WPG,2022-23,72726572,0.579,1,1
WPG,2023-24,85638634,0.671,1,1
